outs,parameters,statistic,prop_significant,prop_Rgreaterthan0,prop_slopegreaterthan0,mean_sigma
outs,"Ne=10,000; m=0.1",Theta,0.23,0.71,0.71,0.280853119
outs,"Ne=10,000; m=0.01",Theta,0.67,0.92,0.92,243043.3984
outs,"Ne=100,000; m=0.01",Theta,0.63,0.95,0.95,0.055738902
outs,"Ne=100,000; m=0.001",Theta,0.95,1,1,0.020323918
outs,"Ne=1,000,000; m=0.001",Theta,0.98,1,1,0.018311376
outs,"Ne=1,000,000; m=0.0001",Theta,0.77,0.96,0.96,0.016196189
outs,"Ne=10,000; m=0.1",PHIst,0.18,0.74,0.74,0.319295665
outs,"Ne=10,000; m=0.01",PHIst,0.67,0.9,0.9,0.035530883
outs,"Ne=100,000; m=0.01",PHIst,0.26,0.72,0.72,0.028061019
outs,"Ne=100,000; m=0.001",PHIst,0.77,0.97,0.97,0.008603668
outs,"Ne=1,000,000; m=0.001",PHIst,0.41,0.89,0.89,0.00906122
outs,"Ne=1,000,000; m=0.0001",PHIst,0.86,0.99,0.99,0.00282544
outs,"Ne=10,000; m=0.001",PHIst,0.73,0.96,0.96,0.008036243
outs,"Ne=100,000; m=0.0001",PHIst,0.86,1,1,0.002360349
outs,"Ne=1,000,000; m=0.00001",PHIst,0.8,0.99,0.99,0.000805739
outs,"Ne=1,000,000; Panmixia",PHIst,0,0,0,0
outs,"Ne=1,000,000; Panmixia",Theta,0,0,0,0
outs,"Ne=10,000; m=0.001",Theta,0.89,0.97,0.97,0.0305341816405385
outs,"Ne=100,000; m=0.0001",Theta,0.74,0.99,0.99,3.6.99799463695324
outs,"Ne=1,000,000; m=0.00001",Theta,0.12,0.65,0.65,22.8195865228102
