vertex,island,log_Pleistocene_area,sector,label,lat,long
1,Hawaii,2.289,gray50,HI,19.718583,-155.450948
2,Maui,6.105,gray50,MI,20.749399,-156.296895
3,Oahu,2.575,gray50,OU,21.400363,-157.818501
4,Kauai,4.454,gray50,KI,22.124792,-159.581807
5,Nihoa,0.82,gray75,NI,23.1,-161.966667
6,Necker,1.004,gray75,NR,23.360741,-164.539902
7,French Frigate,2.672,gray75,FS,23.750278,-166.166667
8,Gardner,0.23,gray75,GR,24.852362,-168.029907
9,Maro,2.339,gray75,MO,25.449043,-170.65564
10,Laysan,1.438,gray75,LN,26.005642,-171.966382
11,Lisianski,2.336,gray75,LI,26.03291,-173.973511
12,Pearl & Hermes,2.575,gray75,PH,27.833333,-175.833333
13,Midway,1.937,gray75,MY,28.271308,-177.412231
14,Kure,1.96,gray75,KE,29.1,-179
